analysis_id,estimand,representation,horizon_day,domain,alpha,conformal_method,metric,n_repeats,mean,sd,min,q25,median,q75,max
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,ambiguous_rate,10,0.7544025157232704,0.13005044700914342,0.5754716981132075,0.6470125786163522,0.7610062893081762,0.8411949685534592,0.9528301886792453
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,singleton_accuracy,10,0.613707909094903,0.1642848063429041,0.2,0.5826923076923076,0.645516304347826,0.6849358974358974,0.8015873015873016
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class0_coverage,10,0.9266949152542374,0.03939893204973513,0.847457627118644,0.916313559322034,0.923728813559322,0.9502118644067796,0.9872881355932204
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class1_coverage,10,0.8902439024390244,0.0951601618757693,0.7195121951219512,0.8140243902439025,0.9146341463414633,0.9725609756097561,0.9878048780487805
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class0_avg_set_size,10,1.759322033898305,0.13966348525052652,1.5677966101694916,1.6620762711864407,1.7605932203389831,1.8728813559322035,1.9533898305084745
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class1_avg_set_size,10,1.7402439024390244,0.1174015831824953,1.5853658536585367,1.667682926829268,1.7134146341463414,1.8231707317073171,1.951219512195122
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class0_singleton_accuracy,10,0.5879271665144161,0.2897044128529185,0.0,0.453125,0.6395061728395062,0.8010835913312694,0.9387755102040817
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,label_conditional,class1_singleton_accuracy,10,0.6151888237508443,0.2529989755134069,0.1875,0.453781512605042,0.655,0.8303571428571428,0.9166666666666666
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,coverage,10,0.9223270440251572,0.0475768600523008,0.8301886792452831,0.8883647798742138,0.929245283018868,0.9654088050314465,0.9748427672955975
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,avg_set_size,10,1.6446540880503147,0.18366861833108794,1.330188679245283,1.525943396226415,1.6415094339622642,1.7932389937106918,1.9056603773584906
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,singleton_rate,10,0.3553459119496855,0.18366861833108794,0.09433962264150944,0.20676100628930816,0.3584905660377359,0.47405660377358494,0.6698113207547169
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,ambiguous_rate,10,0.6446540880503144,0.18366861833108794,0.330188679245283,0.5259433962264151,0.6415094339622641,0.7932389937106918,0.9056603773584906
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,singleton_accuracy,10,0.7823994299475067,0.054541225819366726,0.6666666666666666,0.7604054779806659,0.7854739958285676,0.8162865288667142,0.8679245283018868
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class0_coverage,10,0.9991525423728813,0.0017865975481177237,0.9957627118644068,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class1_coverage,10,0.7012195121951219,0.18272346419233776,0.34146341463414637,0.5792682926829268,0.725609756097561,0.8658536585365854,0.9024390243902439
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class0_avg_set_size,10,1.6262711864406778,0.18624583210043588,1.326271186440678,1.5105932203389831,1.6016949152542372,1.7733050847457628,1.9152542372881356
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class1_avg_set_size,10,1.6975609756097563,0.18537655082527416,1.3414634146341464,1.5640243902439024,1.725609756097561,1.8658536585365852,1.9024390243902438
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class0_singleton_accuracy,10,0.9982443982443983,0.0037027350729535477,0.990990990990991,1.0,1.0,1.0,1.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.1,marginal,class1_singleton_accuracy,10,0.008492063492063492,0.01919421104045062,0.0,0.0,0.0,0.0,0.05714285714285714
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,coverage,10,0.8031446540880502,0.07870993730990235,0.6823899371069182,0.7476415094339622,0.8066037735849056,0.8466981132075472,0.9150943396226415
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,avg_set_size,10,1.5257861635220125,0.21569770014681633,1.2327044025157232,1.4064465408805031,1.5172955974842766,1.671383647798742,1.871069182389937
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,singleton_rate,10,0.4742138364779874,0.21569770014681636,0.1289308176100629,0.32861635220125784,0.4827044025157233,0.5935534591194969,0.7672955974842768
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,ambiguous_rate,10,0.5257861635220127,0.21569770014681633,0.23270440251572327,0.40644654088050314,0.5172955974842768,0.671383647798742,0.8710691823899371
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,singleton_accuracy,10,0.552352595128468,0.13377501299897362,0.2682926829268293,0.5175690250215703,0.6157848324514992,0.6359049602423325,0.6666666666666666
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class0_coverage,10,0.8084745762711865,0.075238881384033,0.6610169491525424,0.7648305084745762,0.8241525423728814,0.8601694915254238,0.8983050847457628
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class1_coverage,10,0.7878048780487805,0.16139798410630948,0.5609756097560976,0.6432926829268293,0.8109756097560976,0.9359756097560975,0.975609756097561
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class0_avg_set_size,10,1.5258474576271188,0.2200531428564437,1.2245762711864407,1.4046610169491527,1.5042372881355932,1.694915254237288,1.86864406779661
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class1_avg_set_size,10,1.525609756097561,0.20961188084390184,1.2439024390243902,1.4054878048780486,1.5304878048780488,1.6158536585365852,1.8780487804878048
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class0_singleton_accuracy,10,0.5282290473348115,0.23572230849054665,0.0967741935483871,0.4388888888888889,0.6557377049180328,0.6808322309547895,0.7352941176470589
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,label_conditional,class1_singleton_accuracy,10,0.609444906072824,0.18970809419563103,0.3673469387755102,0.46033129904097647,0.5833333333333333,0.775,0.9
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,coverage,10,0.8091194968553459,0.029797798476461912,0.7704402515723271,0.779874213836478,0.8160377358490567,0.8270440251572327,0.8553459119496856
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,avg_set_size,10,1.210377358490566,0.13211248690986363,1.0534591194968554,1.1273584905660379,1.2028301886792452,1.2610062893081762,1.509433962264151
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,singleton_rate,10,0.789622641509434,0.13211248690986363,0.49056603773584906,0.7389937106918238,0.7971698113207548,0.8726415094339623,0.9465408805031447
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,ambiguous_rate,10,0.21037735849056602,0.13211248690986363,0.05345911949685535,0.12735849056603774,0.2028301886792453,0.2610062893081761,0.5094339622641509
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,empty_rate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAA-J,landmark_still_registered,score_free,14,ood_test,0.2,marginal,singleton_accuracy,10,0.7566390012752644,0.020703924278784223,0.7051282051282052,0.7556439385493545,0.760062476489541,0.7665405210585934,0.7815126050420168
