analysis_id,estimand,representation,horizon_day,domain,desired_selection_rate,metric,n_repeats,mean,sd,min,q25,median,q75,max
GGG-J,landmark_still_registered,score_free,14,ood_test,0.95,selection_rate,10,0.9411436541143654,0.021724317053136218,0.8926080892608089,0.9323570432357043,0.9463040446304045,0.957810320781032,0.9637377963737797
GGG-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_risk,10,0.3551244055365165,0.013621466310805703,0.3388804841149773,0.3421571160927709,0.35868158284023666,0.3614621546124592,0.38226744186046513
GGG-J,landmark_still_registered,score_free,14,ood_test,0.95,selective_accuracy,10,0.6448755944634835,0.0136214663108057,0.6177325581395349,0.6385378453875408,0.6413184171597633,0.6578428839072291,0.6611195158850227
GGG-J,landmark_still_registered,score_free,56,id_test,0.5,selection_rate,10,0.5086956521739131,0.055901047123256414,0.37681159420289856,0.4927536231884058,0.5108695652173914,0.5471014492753623,0.572463768115942
GGG-J,landmark_still_registered,score_free,56,id_test,0.5,selective_risk,10,0.2587821680228982,0.043342612731430835,0.19117647058823528,0.22514266900790167,0.25486854917234664,0.2885338345864662,0.32432432432432434
GGG-J,landmark_still_registered,score_free,56,id_test,0.5,selective_accuracy,10,0.7412178319771019,0.043342612731430835,0.6756756756756757,0.7114661654135338,0.7451314508276534,0.7748573309920983,0.8088235294117647
GGG-J,landmark_still_registered,score_free,56,id_test,0.7,selection_rate,10,0.6891304347826087,0.05710402407201607,0.6086956521739131,0.6413043478260869,0.6992753623188406,0.7137681159420289,0.7971014492753623
GGG-J,landmark_still_registered,score_free,56,id_test,0.7,selective_risk,10,0.2709207795321437,0.03470632002013986,0.21428571428571427,0.2612215909090909,0.27453488372093027,0.29018820426756176,0.3229166666666667
GGG-J,landmark_still_registered,score_free,56,id_test,0.7,selective_accuracy,10,0.7290792204678562,0.03470632002013986,0.6770833333333333,0.7098117957324382,0.7254651162790697,0.7387784090909091,0.7857142857142857
GGG-J,landmark_still_registered,score_free,56,id_test,0.8,selection_rate,10,0.7869565217391304,0.043100885068976746,0.717391304347826,0.7644927536231885,0.8007246376811594,0.8043478260869565,0.855072463768116
GGG-J,landmark_still_registered,score_free,56,id_test,0.8,selective_risk,10,0.2798109857636065,0.030384098275283714,0.22522522522522523,0.2793747136967476,0.2837662337662338,0.2961141170683719,0.3153153153153153
GGG-J,landmark_still_registered,score_free,56,id_test,0.8,selective_accuracy,10,0.7201890142363935,0.030384098275283714,0.6846846846846847,0.7038858829316281,0.7162337662337663,0.7206252863032524,0.7747747747747747
GGG-J,landmark_still_registered,score_free,56,id_test,0.9,selection_rate,10,0.8876811594202898,0.03807701152278853,0.7971014492753623,0.8768115942028986,0.894927536231884,0.9057971014492754,0.9347826086956522
GGG-J,landmark_still_registered,score_free,56,id_test,0.9,selective_risk,10,0.29896004491307243,0.03629684749920586,0.224,0.28964341085271317,0.3020864381520119,0.3221259842519685,0.34710743801652894
GGG-J,landmark_still_registered,score_free,56,id_test,0.9,selective_accuracy,10,0.7010399550869277,0.036296847499205864,0.6528925619834711,0.6778740157480315,0.6979135618479881,0.7103565891472867,0.776
GGG-J,landmark_still_registered,score_free,56,id_test,0.95,selection_rate,10,0.9376811594202896,0.01748498654188781,0.9130434782608695,0.9221014492753623,0.9456521739130435,0.9492753623188406,0.9565217391304348
GGG-J,landmark_still_registered,score_free,56,id_test,0.95,selective_risk,10,0.3047354143292977,0.03732247295817363,0.2230769230769231,0.29601839000693964,0.30418690724034236,0.32624642175572516,0.35714285714285715
GGG-J,landmark_still_registered,score_free,56,id_test,0.95,selective_accuracy,10,0.6952645856707023,0.037322472958173654,0.6428571428571428,0.6737535782442748,0.6958130927596576,0.7039816099930605,0.7769230769230769
GGG-J,landmark_still_registered,score_free,56,ood_test,0.5,selection_rate,10,0.39956896551724136,0.05460379242756751,0.2988505747126437,0.3642241379310345,0.40660919540229884,0.4385775862068966,0.4698275862068966
GGG-J,landmark_still_registered,score_free,56,ood_test,0.5,selective_risk,10,0.20683944967093226,0.019470747064644463,0.1778846153846154,0.19367283950617284,0.20709764597112582,0.22454988284622024,0.23102310231023102
GGG-J,landmark_still_registered,score_free,56,ood_test,0.5,selective_accuracy,10,0.7931605503290677,0.019470747064644453,0.768976897689769,0.7754501171537798,0.7929023540288742,0.8063271604938271,0.8221153846153846
GGG-J,landmark_still_registered,score_free,56,ood_test,0.7,selection_rate,10,0.6127873563218391,0.05828467322256341,0.507183908045977,0.5933908045977012,0.6185344827586207,0.6440373563218391,0.6925287356321839
GGG-J,landmark_still_registered,score_free,56,ood_test,0.7,selective_risk,10,0.2374735229187727,0.0146950799460723,0.21505376344086022,0.22686872471921649,0.23862793038975982,0.24833676773623786,0.2562929061784897
GGG-J,landmark_still_registered,score_free,56,ood_test,0.7,selective_accuracy,10,0.7625264770812273,0.014695079946072321,0.7437070938215102,0.7516632322637621,0.7613720696102402,0.7731312752807835,0.7849462365591398
GGG-J,landmark_still_registered,score_free,56,ood_test,0.8,selection_rate,10,0.728448275862069,0.06876233906681055,0.6005747126436781,0.6968390804597702,0.7442528735632183,0.7841235632183908,0.7988505747126436
GGG-J,landmark_still_registered,score_free,56,ood_test,0.8,selective_risk,10,0.25309248869091794,0.016314594811800576,0.22248803827751196,0.2470691326720859,0.252961722797189,0.2646249548105329,0.2787769784172662
GGG-J,landmark_still_registered,score_free,56,ood_test,0.8,selective_accuracy,10,0.7469075113090821,0.01631459481180058,0.7212230215827338,0.7353750451894671,0.747038277202811,0.752930867327914,0.777511961722488
GGG-J,landmark_still_registered,score_free,56,ood_test,0.9,selection_rate,10,0.8768678160919541,0.04383714637495068,0.7916666666666666,0.8545258620689655,0.889367816091954,0.9116379310344828,0.9281609195402298
GGG-J,landmark_still_registered,score_free,56,ood_test,0.9,selective_risk,10,0.2777758170738413,0.014266322057628419,0.25226860254083483,0.2724132948779932,0.2838413092568718,0.2881649990278339,0.2904238618524333
GGG-J,landmark_still_registered,score_free,56,ood_test,0.9,selective_accuracy,10,0.7222241829261586,0.01426632205762841,0.7095761381475667,0.7118350009721661,0.7161586907431282,0.7275867051220068,0.7477313974591652
GGG-J,landmark_still_registered,score_free,56,ood_test,0.95,selection_rate,10,0.9340517241379309,0.03116671900742836,0.8793103448275862,0.91558908045977,0.9396551724137931,0.954382183908046,0.9712643678160919
GGG-J,landmark_still_registered,score_free,56,ood_test,0.95,selective_risk,10,0.2885706369235467,0.011289012698926388,0.26533742331288346,0.28246376811594204,0.2925290015610832,0.2956118368676268,0.3022556390977444
GGG-J,landmark_still_registered,score_free,56,ood_test,0.95,selective_accuracy,10,0.7114293630764534,0.011289012698926388,0.6977443609022556,0.7043881631323732,0.7074709984389167,0.7175362318840579,0.7346625766871165
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.5,selection_rate,10,0.5006729722893735,0.01656648076894947,0.46278955150320356,0.4918666387212746,0.5071618416568779,0.511928737450304,0.5185551707075705
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.5,selective_risk,10,0.17263689604403246,0.01159381864729301,0.1554845580404686,0.16571415561009278,0.16964369104324273,0.17953638249332005,0.1965648854961832
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.5,selective_accuracy,10,0.8273631039559675,0.011593818647293034,0.8034351145038168,0.82046361750668,0.8303563089567573,0.8342858443899072,0.8445154419595314
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.7,selection_rate,10,0.7004626479908624,0.013772703550161141,0.6781665845243963,0.6962865802272682,0.6996305292318358,0.7067488378087825,0.7219488188976378
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.7,selective_risk,10,0.2170310057457608,0.0135414174148361,0.2,0.20668991976254933,0.2151939026375856,0.22652558259317598,0.2405237767057202
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.7,selective_accuracy,10,0.7829689942542392,0.013541417414836106,0.7594762232942798,0.773474417406824,0.7848060973624145,0.7933100802374506,0.8
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.8,selection_rate,10,0.7993178073689593,0.007554918061967737,0.7873704982733103,0.7937819042335006,0.8005467457767417,0.8034173136261993,0.8115157480314961
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.8,selective_risk,10,0.23831170208970262,0.010405539027842184,0.21929824561403508,0.23291254216337748,0.2373173599211159,0.24503017612076938,0.254601226993865
pooled_fixed_effects,all_registered_by_horizon,score_free,14,id_test,0.8,selective_accuracy,10,0.7616882979102974,0.010405539027842164,0.745398773006135,0.7549698238792306,0.7626826400788841,0.7670874578366225,0.7807017543859649
