target_definition,model,mapping,domain,weighting,metric,n_repeats,mean,sd,min,q25,median,q75,max
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,calibration_intercept,10,-0.0009848870140365244,0.023860887357424924,-0.038721565836745186,-0.020603998641561806,0.0024102461274915603,0.01598434244075117,0.03249617304591994
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,calibration_slope,10,0.9743745728754961,0.020687554086810455,0.9474698337462631,0.9550853252504798,0.9744178538757189,0.9912087965345742,1.0040682806520256
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,hcep_080,10,0.04974647725848019,0.00234128368765613,0.045995946777675656,0.04860093973842641,0.05046523744920582,0.05132651455324008,0.05278075898155073
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,hcep_090,10,0.017430737901203867,0.0010407054664498328,0.01615365645666223,0.016629635479920624,0.017437877501932826,0.01784815610806387,0.019584093616257896
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,hcep_095,10,0.005641865986720762,0.00045882298281850513,0.0050560452208963085,0.00542745048235045,0.005521356836274915,0.005759644184129815,0.006496907254730561
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,aurc,10,0.07797055876832053,0.0028206786472208117,0.07387196379765246,0.0765954649202924,0.07795065451902566,0.08003850473062707,0.08246585055307439
survey_year_adjusted_50000,logistic_regression,raw,id_test,survey_weighted,excess_aurc,10,0.05836805626159656,0.0021121585550719292,0.05541687656374817,0.057279320631629514,0.058119452367560734,0.059859313046018096,0.062026536628037074
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,prevalence,10,0.4119133333333333,0.0010140007548637222,0.4106666666666667,0.4109,0.41223333333333334,0.4126666666666667,0.4132
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,auroc,10,0.8821321496131127,0.002163926514260956,0.8792297207592514,0.8803412823367507,0.8824660587574189,0.8831079578202733,0.8862976835519291
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,average_precision,10,0.8272538032189821,0.004016568669952377,0.819791671553082,0.8245570980165401,0.828162554919305,0.8300906793664562,0.8326802232594858
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,pr_skill,10,0.7062549382558475,0.006924181579745182,0.6931753772186413,0.7019066535882067,0.7078605646940066,0.7114465571867818,0.7151842202555931
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,brier,10,0.13688130804971219,0.001311043531779103,0.1343783757340399,0.1363627710607708,0.1366806477305067,0.1379341802894259,0.13863714894685863
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,log_loss,10,0.4238012971786763,0.0037548918697109996,0.4169380628889423,0.4218242102224267,0.4227893115767395,0.4272253575610041,0.4287027605208224
survey_year_adjusted_50000,logistic_regression,raw,id_test,unweighted,ece,10,0.009831613567312542,0.0012146580530594208,0.008236419168800461,0.00895805279990506,0.009529595853315679,0.01075491106562888,0.011961858734524683
