repeat,target_definition,marginal_coverage,marginal_worst_class_coverage,marginal_avg_set_size,marginal_singleton_rate,marginal_ambiguous_rate,marginal_empty_rate,label_conditional_coverage,label_conditional_worst_class_coverage,label_conditional_avg_set_size,label_conditional_singleton_rate,label_conditional_ambiguous_rate,label_conditional_empty_rate,domain_family,condition_id,delta_coverage,delta_worst_class_coverage,delta_avg_set_size,delta_singleton_rate,delta_ambiguous_rate,delta_empty_rate,analysis_id,horizon_day,scenario,heldout_site
8,,0.9093444909344492,0.7627737226277372,1.6429567642956764,0.3570432357043235,0.6429567642956764,0.0,0.9302649930264992,0.9051094890510948,1.782426778242678,0.2175732217573222,0.7824267782426778,0.0,OULAD,GGG-J|14,0.020920502092049986,0.14233576642335755,0.13947001394700154,-0.13947001394700131,0.13947001394700143,0.0,GGG-J,14.0,,
9,,0.9079497907949792,0.7591240875912408,1.8410041841004183,0.1589958158995816,0.8410041841004184,0.0,0.8940027894002789,0.8686131386861314,1.8368200836820083,0.1631799163179916,0.8368200836820083,0.0,OULAD,GGG-J|14,-0.013947001394700287,0.1094890510948906,-0.004184100418409997,0.004184100418410025,-0.004184100418410108,0.0,GGG-J,14.0,,
0,,0.9428571428571428,0.7692307692307693,1.6444444444444444,0.3555555555555555,0.6444444444444445,0.0,0.923809523809524,0.9156118143459916,1.8,0.2,0.8,0.0,OULAD,AAA-J|56,-0.01904761904761887,0.14638104511522232,0.15555555555555567,-0.1555555555555555,0.15555555555555556,0.0,AAA-J,56.0,,
1,,0.926984126984127,0.7051282051282052,1.596825396825397,0.4031746031746032,0.5968253968253968,0.0,0.9492063492063492,0.9324894514767932,1.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,OULAD,AAA-J|56,0.022222222222222143,0.227361246348588,0.2920634920634919,-0.2920634920634921,0.292063492063492,0.0,AAA-J,56.0,,
2,,0.9396825396825396,0.7564102564102564,1.8412698412698407,0.1587301587301587,0.8412698412698413,0.0,0.9555555555555556,0.8974358974358975,1.9428571428571428,0.0571428571428571,0.9428571428571428,0.0,OULAD,AAA-J|56,0.01587301587301604,0.14102564102564108,0.10158730158730211,-0.10158730158730159,0.10158730158730156,0.0,AAA-J,56.0,,
3,,0.9873015873015872,0.9487179487179488,1.9142857142857144,0.0857142857142857,0.9142857142857144,0.0,0.9492063492063492,0.9324894514767932,1.8888888888888888,0.1111111111111111,0.8888888888888888,0.0,OULAD,AAA-J|56,-0.03809523809523807,-0.016228497241155604,-0.02539682539682553,0.025396825396825404,-0.02539682539682553,0.0,AAA-J,56.0,,
4,,0.946031746031746,0.782051282051282,1.66984126984127,0.3301587301587301,0.6698412698412698,0.0,0.8571428571428571,0.8354430379746836,1.7396825396825395,0.2603174603174603,0.7396825396825397,0.0,OULAD,AAA-J|56,-0.0888888888888889,0.05339175592340151,0.0698412698412696,-0.06984126984126982,0.06984126984126993,0.0,AAA-J,56.0,,
5,,0.9396825396825396,0.7564102564102564,1.6793650793650794,0.3206349206349206,0.6793650793650794,0.0,0.8380952380952381,0.8270042194092827,1.6634920634920636,0.3365079365079365,0.6634920634920635,0.0,OULAD,AAA-J|56,-0.10158730158730145,0.07059396299902632,-0.015873015873015817,0.015873015873015872,-0.015873015873015928,0.0,AAA-J,56.0,,
6,,0.907936507936508,0.6282051282051282,1.5047619047619047,0.4952380952380952,0.5047619047619047,0.0,0.8,0.7974683544303798,1.4412698412698413,0.5587301587301587,0.4412698412698412,0.0,OULAD,AAA-J|56,-0.107936507936508,0.16926322622525158,-0.06349206349206349,0.06349206349206354,-0.06349206349206354,0.0,AAA-J,56.0,,
7,,0.9682539682539684,0.8717948717948718,1.8634920634920635,0.1365079365079365,0.8634920634920635,0.0,0.8857142857142857,0.8717948717948718,1.746031746031746,0.2539682539682539,0.746031746031746,0.0,OULAD,AAA-J|56,-0.08253968253968269,0.0,-0.11746031746031749,0.1174603174603174,-0.11746031746031749,0.0,AAA-J,56.0,,
8,,0.9015873015873016,0.6025641025641025,1.5523809523809524,0.4476190476190476,0.5523809523809524,0.0,0.8952380952380953,0.717948717948718,1.596825396825397,0.4031746031746032,0.5968253968253968,0.0,OULAD,AAA-J|56,-0.006349206349206327,0.11538461538461542,0.04444444444444451,-0.0444444444444444,0.0444444444444444,0.0,AAA-J,56.0,,
9,,0.9650793650793652,0.8589743589743589,1.6857142857142855,0.3142857142857143,0.6857142857142857,0.0,0.9396825396825396,0.9282700421940928,1.8634920634920635,0.1365079365079365,0.8634920634920635,0.0,OULAD,AAA-J|56,-0.02539682539682564,0.0692956832197339,0.17777777777777803,-0.17777777777777778,0.1777777777777778,0.0,AAA-J,56.0,,
0,,0.9317434210526316,0.9238227146814404,1.638157894736842,0.3618421052631579,0.6381578947368421,0.0,0.8807565789473685,0.814404432132964,1.6110197368421053,0.3889802631578947,0.6110197368421053,0.0,OULAD,BBB-B|56,-0.050986842105263164,-0.10941828254847641,-0.027138157894736725,0.02713815789473678,-0.027138157894736836,0.0,BBB-B,56.0,,
1,,0.897203947368421,0.8643724696356275,1.504111842105263,0.4958881578947368,0.5041118421052632,0.0,0.8667763157894737,0.8047091412742382,1.5361842105263157,0.4638157894736842,0.5361842105263158,0.0,OULAD,BBB-B|56,-0.030427631578947345,-0.05966332836138932,0.032072368421052655,-0.0320723684210526,0.032072368421052655,0.0,BBB-B,56.0,,
2,,0.9523026315789472,0.9210526315789472,1.6513157894736843,0.3486842105263157,0.6513157894736842,0.0,0.9251644736842104,0.8878116343490304,1.6907894736842106,0.3092105263157895,0.6907894736842105,0.0,OULAD,BBB-B|56,-0.027138157894736836,-0.0332409972299168,0.03947368421052633,-0.039473684210526216,0.03947368421052633,0.0,BBB-B,56.0,,
3,,0.9300986842105264,0.8724696356275303,1.550986842105263,0.4490131578947368,0.5509868421052632,0.0,0.912828947368421,0.8795013850415513,1.6077302631578947,0.3922697368421052,0.6077302631578947,0.0,OULAD,BBB-B|56,-0.01726973684210542,0.00703174941402096,0.05674342105263164,-0.05674342105263158,0.056743421052631526,0.0,BBB-B,56.0,,
4,,0.9358552631578948,0.9129554655870444,1.631578947368421,0.3684210526315789,0.631578947368421,0.0,0.8388157894736842,0.7562326869806094,1.511513157894737,0.4884868421052631,0.5115131578947368,0.0,OULAD,BBB-B|56,-0.09703947368421062,-0.15672277860643502,-0.12006578947368407,0.12006578947368418,-0.12006578947368418,0.0,BBB-B,56.0,,
5,,0.8848684210526315,0.7955465587044535,1.4136513157894737,0.5863486842105263,0.4136513157894737,0.0,0.8766447368421053,0.8601108033240997,1.4638157894736843,0.5361842105263158,0.4638157894736842,0.0,OULAD,BBB-B|56,-0.008223684210526216,0.06456424461964627,0.05016447368421062,-0.05016447368421051,0.05016447368421051,0.0,BBB-B,56.0,,
6,,0.9629934210526316,0.9392712550607288,1.714638157894737,0.2853618421052631,0.7146381578947368,0.0,0.935032894736842,0.909972299168975,1.6973684210526316,0.3026315789473684,0.6973684210526315,0.0,OULAD,BBB-B|56,-0.027960526315789602,-0.029298955891753797,-0.01726973684210531,0.01726973684210531,-0.01726973684210531,0.0,BBB-B,56.0,,
