mapping,scenario_family,conformal_method,alpha,metric,n_repeats,mean,sd,min,q25,median,q75,max
platt,label_independent_measurement_corruption,label_conditional,0.05,class1_singleton_accuracy,20,0.7112156593406593,0.21264079238177672,0.25,0.575,0.7928571428571429,0.8489010989010989,1.0
platt,label_independent_measurement_corruption,label_conditional,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,label_independent_measurement_corruption,label_conditional,0.1,coverage,20,0.8786666666666665,0.04968202988573686,0.7533333333333333,0.8633333333333334,0.8933333333333333,0.9,0.96
platt,label_independent_measurement_corruption,label_conditional,0.1,avg_set_size,20,1.5010000000000001,0.11768279299065716,1.34,1.3866666666666667,1.4933333333333332,1.5983333333333332,1.7
platt,label_independent_measurement_corruption,label_conditional,0.1,singleton_rate,20,0.499,0.11768279299065719,0.3,0.40166666666666667,0.5066666666666666,0.6133333333333333,0.66
platt,label_independent_measurement_corruption,label_conditional,0.1,singleton_accuracy,20,0.7590354267226748,0.06906879832462764,0.6145833333333334,0.7181818181818183,0.7610317975340688,0.7956487956487956,0.8928571428571429
platt,label_independent_measurement_corruption,label_conditional,0.1,class0_coverage,20,0.9028571428571428,0.0494968116115452,0.7619047619047619,0.8904761904761905,0.9095238095238095,0.9357142857142857,0.9714285714285714
platt,label_independent_measurement_corruption,label_conditional,0.1,class1_coverage,20,0.8222222222222222,0.10423146132940954,0.5333333333333333,0.7833333333333333,0.8222222222222222,0.8888888888888888,0.9777777777777777
platt,label_independent_measurement_corruption,label_conditional,0.1,class0_singleton_accuracy,20,0.8086863885077863,0.07991138500193526,0.6376811594202898,0.7597844112769485,0.8048701298701298,0.8794856459330143,0.9210526315789473
platt,label_independent_measurement_corruption,label_conditional,0.1,class1_singleton_accuracy,20,0.6356409670046802,0.16614310148432154,0.27586206896551724,0.5631868131868132,0.6435294117647059,0.7475296442687747,0.9166666666666666
platt,label_independent_measurement_corruption,label_conditional,0.1,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,label_independent_measurement_corruption,label_conditional,0.2,coverage,20,0.7863333333333334,0.059371956677930715,0.6733333333333333,0.7533333333333333,0.7866666666666666,0.8333333333333334,0.9066666666666666
platt,label_independent_measurement_corruption,label_conditional,0.2,avg_set_size,20,1.2543333333333333,0.10537096818228686,1.12,1.1916666666666667,1.22,1.3433333333333333,1.4866666666666666
platt,label_independent_measurement_corruption,label_conditional,0.2,singleton_rate,20,0.7456666666666666,0.10537096818228689,0.5133333333333333,0.6566666666666667,0.78,0.8083333333333333,0.88
platt,label_independent_measurement_corruption,label_conditional,0.2,singleton_accuracy,20,0.7163926635364326,0.05652758542734983,0.6068376068376068,0.6829803719008265,0.7190924588034743,0.7559583858764186,0.8181818181818182
platt,label_independent_measurement_corruption,label_conditional,0.2,class0_coverage,20,0.8209523809523811,0.0657364388216198,0.6761904761904762,0.8071428571428572,0.8333333333333334,0.8690476190476191,0.9047619047619048
platt,label_independent_measurement_corruption,label_conditional,0.2,class1_coverage,20,0.7055555555555555,0.10666544833612213,0.4222222222222222,0.6611111111111111,0.7,0.7777777777777778,0.9111111111111111
platt,label_independent_measurement_corruption,label_conditional,0.2,class0_singleton_accuracy,20,0.7658402975871146,0.07020852535747327,0.6091954022988506,0.7500463392029657,0.7838414634146342,0.8142512077294686,0.8674698795180723
platt,label_independent_measurement_corruption,label_conditional,0.2,class1_singleton_accuracy,20,0.594507608941555,0.1200084849057689,0.23529411764705882,0.5333333333333333,0.5883458646616542,0.6858062330623307,0.8
platt,label_independent_measurement_corruption,label_conditional,0.2,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platt,label_independent_measurement_corruption,marginal,0.05,coverage,20,0.9223333333333334,0.03791495561976992,0.8133333333333334,0.905,0.9299999999999999,0.9416666666666667,0.98
platt,label_independent_measurement_corruption,marginal,0.05,avg_set_size,20,1.5390000000000001,0.10321781885243929,1.3933333333333333,1.45,1.5466666666666666,1.6116666666666668,1.7533333333333334
platt,label_independent_measurement_corruption,marginal,0.05,singleton_rate,20,0.46099999999999997,0.1032178188524393,0.24666666666666667,0.3883333333333333,0.45333333333333337,0.55,0.6066666666666667
platt,label_independent_measurement_corruption,marginal,0.05,singleton_accuracy,20,0.8385062144439113,0.05199277469445338,0.6923076923076923,0.8200187969924811,0.8323970037453183,0.8736812570145903,0.9411764705882353
platt,label_independent_measurement_corruption,marginal,0.05,class0_coverage,20,0.9933333333333334,0.008233378341624945,0.9809523809523809,0.9880952380952381,1.0,1.0,1.0
platt,label_independent_measurement_corruption,marginal,0.05,class1_coverage,20,0.7566666666666667,0.11546442650519742,0.4222222222222222,0.7111111111111111,0.7777777777777778,0.8222222222222222,0.9333333333333333
platt,label_independent_measurement_corruption,marginal,0.05,class0_singleton_accuracy,20,0.9888829189946164,0.013857863916331323,0.9615384615384616,0.9800417587816261,1.0,1.0,1.0
platt,label_independent_measurement_corruption,marginal,0.05,class1_singleton_accuracy,20,0.16785230972730975,0.12820010037512125,0.0,0.06919642857142858,0.16666666666666666,0.2554945054945055,0.4
platt,label_independent_measurement_corruption,marginal,0.05,empty_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
