horizon_day,repeat,domain,conformal_method,aggregation,coverage,avg_set_size,singleton_rate,class0_coverage,class1_coverage,class0_avg_set_size,class1_avg_set_size,class0_singleton_accuracy,class1_singleton_accuracy
56,2,ood_test,label_conditional,equal_pair,0.897582162932809,1.5577821469288509,0.44221785307114936,0.9050359452762993,0.8747783218519432,1.6038504630766257,1.4893444097811364,0.6662331073677579,0.702796625117647
56,2,ood_test,label_conditional,size_weighted,0.8855278766310795,1.4923882957690786,0.5076117042309213,0.9021696738394996,0.8460084914766296,1.532445484560753,1.4369033871836778,0.7128918496796244,0.7282649747627898
56,2,ood_test,marginal,equal_pair,0.9048326804460637,1.5187186739326124,0.4812813260673875,0.9507356254909057,0.8068798125785114,1.528069345510857,1.5174360776259634,0.8871813065984703,0.5494074999932651
56,2,ood_test,marginal,size_weighted,0.8926453143534994,1.4585804665875841,0.541419533412416,0.9464520188360188,0.7856402752803514,1.4626197657485138,1.4687714600923754,0.8822794207101273,0.5910424458350757
56,3,id_test,label_conditional,equal_pair,0.9060069777233646,1.573616655623132,0.42638334437686815,0.9001365005933241,0.9142465663606058,1.6201387096422253,1.513448055748915,0.6557750599194279,0.8358409696647044
56,3,id_test,label_conditional,size_weighted,0.9047526615539371,1.5428361591491686,0.4571638408508313,0.9038137345627426,0.9057241924559492,1.59158301134743,1.482847564941559,0.7356734964154646,0.8206973263306373
56,3,id_test,marginal,equal_pair,0.9185546615395351,1.5462203875588172,0.4537796124411828,0.964871002357734,0.845373539489914,1.53270315207875,1.5825826194817434,0.9269452045704618,
56,3,id_test,marginal,size_weighted,0.9122738873734046,1.5091212657918687,0.49087873420813133,0.9606992667963605,0.8401986240967788,1.4971721857435523,1.5376036092092658,0.9201798771308057,
56,3,ood_test,label_conditional,equal_pair,0.894099368394164,1.5462384790303285,0.4537615209696713,0.9033633026882703,0.8728734414260408,1.5900806783959596,1.478950184454188,0.6339088677062259,0.7885277887117565
56,3,ood_test,label_conditional,size_weighted,0.8866152629497825,1.4952550415183867,0.5047449584816133,0.9126522453340925,0.8331743741737925,1.5282878413776497,1.4503395467811828,0.7389108161737059,0.7272668265151345
56,3,ood_test,marginal,equal_pair,0.9112823086083378,1.53591950983455,0.4640804901654501,0.9697529292442449,0.8060633731139563,1.526204906623717,1.563498482268144,0.936245956186425,0.49435311651790187
56,3,ood_test,marginal,size_weighted,0.896797153024911,1.473902728351127,0.5260972716488731,0.9690246249176071,0.7673404527879722,1.4613088751948722,1.504395324452637,0.9359965244905535,0.5349436061545424
56,4,id_test,label_conditional,equal_pair,0.878775903844539,1.5187931587679864,0.48120684123201385,0.862428608489,0.8996722508894359,1.5738805563571034,1.4342656565920395,0.6432282594514567,0.8198566742112353
56,4,id_test,label_conditional,size_weighted,0.8809822657078339,1.4882485721426717,0.5117514278573285,0.8615492926534709,0.9034048103652105,1.540807218119159,1.4139602903386483,0.6849158562103393,0.8326199598956723
56,4,id_test,marginal,equal_pair,0.9055847262728434,1.502119088373388,0.49788091162661213,0.9596208281585462,0.8081295846875204,1.4934954443520063,1.5171595157603308,0.9144635123632742,0.5615708555974822
56,4,id_test,marginal,size_weighted,0.9059262315150143,1.4819459936592843,0.5180540063407156,0.9565289306629386,0.8272234149589186,1.4676010710185639,1.5044274703844098,0.9141231930790943,0.6329288589272779
56,4,ood_test,label_conditional,equal_pair,0.8769071789082089,1.5146981791949619,0.4853018208050383,0.8765864380025641,0.8705860880490927,1.5633588826815734,1.4394957156942567,0.655886009907067,0.7832096727798963
